# hades 2025-06-25 **testing only**
#
# GNU/Linux 6.13.6-1-default #1 SMP PREEMPT_DYNAMIC Mon Mar 10 08:49:24 UTC 2025 (495d82a) x86_64 openSUSE Tumbleweed
# Intel Core i5-1335U (AVX2-VNNI) (12 threads, 2 performance cores, 8 efficient cores), 12MB cache
# 32 GB RAM
# gcc 14.2.1
# Python 3.11.11 [gcc] OpenBLAS 0.3.29
# R version 4.4.3 (2025-02-28) Rblas
#
# Python modules (via reticulate):
# numba           0.61.2
# cython          3.1.2
# numpy           2.2.6
# scipy           1.15.3
# sklearn         1.7.0
# pykdtree        1.4.1*
#
# R packages:
# RANN            2.6.2*
# nabor           0.5.0*
# dbscan          1.2.2*
# mlpack          4.6.2*
# reticulate     1.42.0*
#
# Other:
# pico_tree       1.0.0*
#
# * - compiled with -O3 -march=native
#
"method","user.self","sys.self","elapsed","Δdist","Σdist","Δidx","n","d","k","nthreads","time","host"
"r_genieclust_kdtree",0.0999999999999999,0.005,0.105,0,22246.9410117331,0,131072,2,10,1,1750855857,"hades"
"pico_tree",0.121,0.00599999999999998,0.127000000000001,0,22246.9410117331,0,131072,2,10,1,1750855857,"hades"
"r_genieclust_kdtree",0.12,0.005,0.125,0,22246.9410117331,0,131072,2,10,1,1750855857,"hades"
"pico_tree",0.122,0.004,0.126000000000001,0,22246.9410117331,0,131072,2,10,1,1750855857,"hades"
"r_genieclust_kdtree",0.121,0.002,0.123000000000001,0,22246.9410117331,0,131072,2,10,1,1750855857,"hades"
"pico_tree",0.123,0.002,0.125,0,22246.9410117331,0,131072,2,10,1,1750855857,"hades"
"r_genieclust_kdtree",0.207,0.003,0.210000000000001,0,31502.0267260919,0,262144,2,10,1,1750855858,"hades"
"pico_tree",0.258,0.002,0.262,0,31502.0267260919,0,262144,2,10,1,1750855858,"hades"
"r_genieclust_kdtree",0.209,0.003,0.212,0,31502.0267260919,0,262144,2,10,1,1750855859,"hades"
"pico_tree",0.26,0,0.26,0,31502.0267260919,0,262144,2,10,1,1750855859,"hades"
"r_genieclust_kdtree",0.206,0.00399999999999998,0.210999999999999,0,31502.0267260919,0,262144,2,10,1,1750855860,"hades"
"pico_tree",0.259,0.003,0.262,0,31502.0267260919,0,262144,2,10,1,1750855860,"hades"
"r_genieclust_kdtree",0.42,0.00700000000000001,0.426,0,44523.9460351206,0,524288,2,10,1,1750855861,"hades"
"pico_tree",0.772,0.01,0.781000000000001,0,44523.9460351206,0,524288,2,10,1,1750855861,"hades"
"r_genieclust_kdtree",0.430999999999999,0.004,0.435,0,44523.9460351206,0,524288,2,10,1,1750855862,"hades"
"pico_tree",0.724,0.013,0.737,0,44523.9460351206,0,524288,2,10,1,1750855862,"hades"
"r_genieclust_kdtree",0.419,0.00900000000000001,0.427999999999999,0,44523.9460351206,0,524288,2,10,1,1750855864,"hades"
"pico_tree",0.712,0.00700000000000001,0.719999999999999,0,44523.9460351206,0,524288,2,10,1,1750855864,"hades"
"r_genieclust_kdtree",0.919,0.023,0.942,0,63010.6961437886,0,1048576,2,10,1,1750855867,"hades"
"pico_tree",1.83,0.02,1.851,0,63010.6961437886,0,1048576,2,10,1,1750855867,"hades"
"r_genieclust_kdtree",0.868,0.022,0.890000000000001,0,63010.6961437886,0,1048576,2,10,1,1750855870,"hades"
"pico_tree",1.831,0.019,1.851,0,63010.6961437886,0,1048576,2,10,1,1750855870,"hades"
"r_genieclust_kdtree",0.880000000000001,0.019,0.898,0,63010.6961437886,0,1048576,2,10,1,1750855873,"hades"
"pico_tree",1.927,0.013,1.94,0,63010.6961437886,0,1048576,2,10,1,1750855873,"hades"
"r_genieclust_kdtree",0.183999999999997,0,0.183999999999997,0,120920.903912397,0,131072,3,10,1,1750855874,"hades"
"pico_tree",0.215,0,0.215,0,120920.903912397,0,131072,3,10,1,1750855874,"hades"
"r_genieclust_kdtree",0.192999999999998,0,0.193000000000001,0,120920.903912397,0,131072,3,10,1,1750855874,"hades"
"pico_tree",0.199000000000002,0,0.198999999999998,0,120920.903912397,0,131072,3,10,1,1750855874,"hades"
"r_genieclust_kdtree",0.18,0,0.18,0,120920.903912397,0,131072,3,10,1,1750855875,"hades"
"pico_tree",0.228999999999999,0,0.229000000000003,0,120920.903912397,0,131072,3,10,1,1750855875,"hades"
"r_genieclust_kdtree",0.365000000000002,0.001,0.366,0,191958.124701284,0,262144,3,10,1,1750855876,"hades"
"pico_tree",0.461000000000002,0.003,0.463999999999999,0,191958.124701284,0,262144,3,10,1,1750855876,"hades"
"r_genieclust_kdtree",0.363,0.002,0.364999999999998,0,191958.124701284,0,262144,3,10,1,1750855877,"hades"
"pico_tree",0.436,0.004,0.441000000000003,0,191958.124701284,0,262144,3,10,1,1750855877,"hades"
"r_genieclust_kdtree",0.363,0.003,0.366,0,191958.124701284,0,262144,3,10,1,1750855878,"hades"
"pico_tree",0.449999999999999,0.003,0.452999999999999,0,191958.124701284,0,262144,3,10,1,1750855878,"hades"
"r_genieclust_kdtree",0.670999999999999,0.00700000000000001,0.678000000000001,0,305071.096867255,0,524288,3,10,1,1750855880,"hades"
"pico_tree",1.378,0.00900000000000001,1.387,0,305071.096867255,0,524288,3,10,1,1750855880,"hades"
"r_genieclust_kdtree",0.672999999999998,0.00999999999999995,0.682000000000002,0,305071.096867255,0,524288,3,10,1,1750855883,"hades"
"pico_tree",1.366,0.011,1.378,0,305071.096867255,0,524288,3,10,1,1750855883,"hades"
"r_genieclust_kdtree",0.692,0.012,0.704000000000001,0,305071.096867255,0,524288,3,10,1,1750855885,"hades"
"pico_tree",1.342,0.01,1.352,0,305071.096867255,0,524288,3,10,1,1750855885,"hades"
"r_genieclust_kdtree",1.385,0.018,1.404,0,485125.485673019,0,1048576,3,10,1,1750855890,"hades"
"pico_tree",3.342,0.028,3.373,0,485125.485673019,0,1048576,3,10,1,1750855890,"hades"
"r_genieclust_kdtree",1.353,0.028,1.381,0,485125.485673019,0,1048576,3,10,1,1750855895,"hades"
"pico_tree",3.302,0.0239999999999999,3.329,0,485125.485673019,0,1048576,3,10,1,1750855895,"hades"
"r_genieclust_kdtree",1.352,0.022,1.375,0,485125.485673019,0,1048576,3,10,1,1750855900,"hades"
"pico_tree",3.225,0.027,3.255,0,485125.485673019,0,1048576,3,10,1,1750855900,"hades"
"r_genieclust_kdtree",0.334000000000003,0.005,0.338999999999999,0,294481.606465573,0,131072,4,10,1,1750855901,"hades"
"pico_tree",0.358000000000004,0.002,0.359999999999999,0,294481.606465573,0,131072,4,10,1,1750855901,"hades"
"r_genieclust_kdtree",0.329000000000001,0.005,0.334000000000003,0,294481.606465573,0,131072,4,10,1,1750855902,"hades"
"pico_tree",0.354999999999997,0.003,0.356999999999999,0,294481.606465573,0,131072,4,10,1,1750855902,"hades"
"r_genieclust_kdtree",0.329999999999998,0.00600000000000001,0.335999999999999,0,294481.606465573,0,131072,4,10,1,1750855903,"hades"
"pico_tree",0.359999999999999,0.003,0.362000000000002,0,294481.606465573,0,131072,4,10,1,1750855903,"hades"
"r_genieclust_kdtree",0.661000000000001,0,0.661000000000001,0,495235.01362421,0,262144,4,10,1,1750855905,"hades"
"pico_tree",0.863,0.003,0.866999999999997,0,495235.01362421,0,262144,4,10,1,1750855905,"hades"
"r_genieclust_kdtree",0.653999999999996,0.002,0.655000000000001,0,495235.01362421,0,262144,4,10,1,1750855906,"hades"
"pico_tree",0.899000000000001,0.005,0.904000000000003,0,495235.01362421,0,262144,4,10,1,1750855906,"hades"
"r_genieclust_kdtree",0.659999999999997,0.001,0.661000000000001,0,495235.01362421,0,262144,4,10,1,1750855908,"hades"
"pico_tree",0.937999999999995,0.003,0.942,0,495235.01362421,0,262144,4,10,1,1750855908,"hades"
"r_genieclust_kdtree",1.336,0.005,1.341,0,834842.701748508,0,524288,4,10,1,1750855913,"hades"
"pico_tree",2.599,0.004,2.60399999999999,0,834842.701748508,0,524288,4,10,1,1750855913,"hades"
"r_genieclust_kdtree",1.341,0.004,1.346,0,834842.701748508,0,524288,4,10,1,1750855917,"hades"
"pico_tree",2.585,0.00099999999999989,2.587,0,834842.701748508,0,524288,4,10,1,1750855917,"hades"
"r_genieclust_kdtree",1.339,0.002,1.33999999999999,0,834842.701748508,0,524288,4,10,1,1750855921,"hades"
"pico_tree",2.56799999999999,0.004,2.575,0,834842.701748508,0,524288,4,10,1,1750855921,"hades"
"r_genieclust_kdtree",2.589,0.018,2.60899999999999,0,1407636.8332737,0,1048576,4,10,1,1750855931,"hades"
"pico_tree",6.747,0.021,6.768,0,1407636.8332737,0,1048576,4,10,1,1750855931,"hades"
"r_genieclust_kdtree",2.572,0.02,2.59299999999999,0,1407636.8332737,0,1048576,4,10,1,1750855940,"hades"
"pico_tree",6.678,0.021,6.7,0,1407636.8332737,0,1048576,4,10,1,1750855940,"hades"
"r_genieclust_kdtree",2.571,0.023,2.596,0,1407636.8332737,0,1048576,4,10,1,1750855950,"hades"
"pico_tree",6.697,0.0239999999999999,6.72499999999999,0,1407636.8332737,0,1048576,4,10,1,1750855950,"hades"
"r_genieclust_kdtree",0.694000000000003,0,0.694000000000003,0,514212.860549947,0,131072,5,10,1,1750855952,"hades"
