# hades 2025-07-10
#
# GNU/Linux 6.15.4-1-default #1 SMP PREEMPT_DYNAMIC Mon Jun 30 10:37:39 UTC 2025 (55e70a8) x86_64 openSUSE Tumbleweed
# Intel Core i5-1335U (AVX2-VNNI) (12 threads, 2 performance cores, 8 efficient cores), 12MB cache
# 32 GB RAM
# gcc 15.1.1 20250626
# Python 3.13.5 [gcc] OpenBLAS 0.3.29
# R version 4.5.1 (2025-06-13) Rblas
#
# Python modules:
#                numba 0.61.2
#               cython 3.1.2
#                numpy 2.2.6
#                scipy 1.16.0
#              sklearn 1.7.0
#               mlpack 4.6.1
#              hdbscan 0.8.40
#         fast_hdbscan 0.2.2* (because numba)
#                 rpy2 3.6.1
#
# R packages (via rpy2):
#               mlpack 4.6.2*
#
#
# * - compiled with -O3 -march=native

#                                2025-07-14 10:10             18:30
n=1208592, d=3, M=10, s=thermogauss_scan001, threads=10
       quitefast_kdtree_single: t=        0.97363 t=        1.02941
    quitefast_kdtree_sesqui_16: t=        0.83155 t=        0.93574 !
         quitefast_kdtree_dual: t=        1.46893 t=        1.53284
                     wangyiqiu: t=        1.52437 t=        1.53505
n=1208592, d=2, M=10, s=norm, threads=10
       quitefast_kdtree_single: t=        0.82662 t=        0.90927 ~
    quitefast_kdtree_sesqui_16: t=        0.82162 t=        0.90200 ~
         quitefast_kdtree_dual: t=        1.24381 t=        1.30865
                     wangyiqiu: t=        1.48075 t=        1.48433
n=1208592, d=3, M=10, s=norm, threads=10
       quitefast_kdtree_single: t=        0.95932 t=        0.97514 !
    quitefast_kdtree_sesqui_16: t=        0.99213 t=        1.04779
         quitefast_kdtree_dual: t=        1.93320 t=        1.99277
                     wangyiqiu: t=        2.99970 t=        3.95224
n=1208592, d=5, M=10, s=norm, threads=10
       quitefast_kdtree_single: t=        1.90537 t=   !!!     2.59817 !
    quitefast_kdtree_sesqui_16: t=        2.23924 t=   !!!     2.67163
         quitefast_kdtree_dual: t=        6.39298 t=        6.34408
                     wangyiqiu: t=       25.86820 t=       25.84900
n=1208592, d=3, M=1, s=thermogauss_scan001, threads=10
       quitefast_kdtree_single: t=        0.98608 t=   !!!     1.52734
    quitefast_kdtree_sesqui_16: t=        0.93620 t=   !!!     1.26115 !!
         quitefast_kdtree_dual: t=        1.84532 t=        1.85050
                     wangyiqiu: t=        0.72278 t=        0.72200 !!!
n=1208592, d=2, M=1, s=norm, threads=10
       quitefast_kdtree_single: t=        0.85839 t=  !!!      1.06121
    quitefast_kdtree_sesqui_16: t=        0.69425 t=  !!!      0.99476 ~
         quitefast_kdtree_dual: t=        1.30005 t=        1.32882
                     wangyiqiu: t=        0.72766 t=        0.72088 !!!
n=1208592, d=3, M=1, s=norm, threads=10
       quitefast_kdtree_single: t=        1.00404 t=        0.95346 ~
    quitefast_kdtree_sesqui_16: t=        1.19529 t=        1.02036
         quitefast_kdtree_dual: t=        3.40865 t=        3.40368
                     wangyiqiu: t=        1.30978 t=        1.31842
n=1208592, d=5, M=1, s=norm, threads=10
       quitefast_kdtree_single: t=        3.58010 t=        2.13095 !
    quitefast_kdtree_sesqui_16: t=        3.81014 t=        2.40898
         quitefast_kdtree_dual: t=       20.79236 t=       21.53686
                     wangyiqiu: t=        6.39189 t=        6.42541


