# apollo 2025-06-30 21:00
#
# GNU/Linux 6.13.0-1-default #1 SMP PREEMPT_DYNAMIC Mon Jan 20 07:26:08 UTC 2025 (1513344) x86_64 openSUSE Tumbleweed
# Intel Core i7-1355U (AVX2-VNNI) (12 threads, 2 performance cores, 8 efficient cores), 12MB cache
# 32 GB RAM
# gcc 14.2.1
# Python 3.11.11 [gcc] OpenBLAS 0.3.29
# R version 4.4.2 (2024-10-31) Rblas
#
# Python modules:
#                numba 0.61.2
#               cython 3.1.2
#                numpy 2.2.6
#                scipy 1.16.0
#              sklearn 1.7.0
#               mlpack 4.6.1
#              hdbscan 0.8.40
#         fast_hdbscan 0.2.2* (because numba)
#                 rpy2 3.6.1
#
# R packages (via rpy2):
#               mlpack 4.6.2*
#
#
# * - compiled with -O3 -march=native
method,elapsed,Δdist,Σdist,Δidx,n,d,M,s,nthreads,trial,seed,time,host
quitefast_kdtree_single,1.0635335445404053,0.0,699204.1443884636,0,1208592,-3,1,thermogauss_scan001,10,1,123,1751310412,apollo
quitefast_kdtree_dual,1.8421878814697266,0.0,699204.1443884636,142,1208592,-3,1,thermogauss_scan001,10,1,123,1751310414,apollo
fasthdbscan_kdtree,5.433622121810913,0.0010080380598083138,699204.1453965016,9750,1208592,-3,1,thermogauss_scan001,10,1,123,1751310419,apollo
hdbscan_kdtree,53.160287618637085,0.0,699204.1443884636,1668,1208592,-3,1,thermogauss_scan001,10,1,123,1751310472,apollo
r_quitefast_default,0.9963009357452393,0.0,699204.1443884636,0,1208592,-3,1,thermogauss_scan001,10,1,123,1751310474,apollo
quitefast_kdtree_single,0.9199619293212891,0.0,699204.1443884636,0,1208592,-3,1,thermogauss_scan001,10,2,123,1751310474,apollo
quitefast_kdtree_dual,1.8395946025848389,0.0,699204.1443884636,142,1208592,-3,1,thermogauss_scan001,10,2,123,1751310476,apollo
fasthdbscan_kdtree,6.268555402755737,0.0010080380598083138,699204.1453965016,9750,1208592,-3,1,thermogauss_scan001,10,2,123,1751310483,apollo
hdbscan_kdtree,54.64750003814697,0.0,699204.1443884636,1668,1208592,-3,1,thermogauss_scan001,10,2,123,1751310538,apollo
r_quitefast_default,1.003065824508667,0.0,699204.1443884636,0,1208592,-3,1,thermogauss_scan001,10,2,123,1751310539,apollo
quitefast_kdtree_single,1.0213243961334229,0.0,699204.1443884636,0,1208592,-3,1,thermogauss_scan001,10,3,123,1751310540,apollo
quitefast_kdtree_dual,1.8486733436584473,0.0,699204.1443884636,142,1208592,-3,1,thermogauss_scan001,10,3,123,1751310542,apollo
fasthdbscan_kdtree,5.889834880828857,0.0010080380598083138,699204.1453965016,9750,1208592,-3,1,thermogauss_scan001,10,3,123,1751310548,apollo
hdbscan_kdtree,54.65584754943848,0.0,699204.1443884636,1668,1208592,-3,1,thermogauss_scan001,10,3,123,1751310602,apollo
r_quitefast_default,0.9956316947937012,0.0,699204.1443884636,0,1208592,-3,1,thermogauss_scan001,10,3,123,1751310604,apollo
quitefast_kdtree_single,0.8801424503326416,0.0,1454150.1379761116,0,1208592,-3,10,thermogauss_scan001,10,1,123,1751310605,apollo
quitefast_kdtree_dual,2.4092743396759033,0.0,1454150.1379761116,17,1208592,-3,10,thermogauss_scan001,10,1,123,1751310607,apollo
fasthdbscan_kdtree,3.084761381149292,9.099720045924187e-06,1454150.1379852113,14234,1208592,-3,10,thermogauss_scan001,10,1,123,1751310611,apollo
hdbscan_kdtree,46.025094985961914,0.0,1454150.1379761116,15981,1208592,-3,10,thermogauss_scan001,10,1,123,1751310657,apollo
r_quitefast_default,0.9287207126617432,0.0,1454150.1379761116,0,1208592,-3,10,thermogauss_scan001,10,1,123,1751310658,apollo
quitefast_kdtree_single,0.7952182292938232,0.0,1454150.1379761116,0,1208592,-3,10,thermogauss_scan001,10,2,123,1751310659,apollo
quitefast_kdtree_dual,2.3883659839630127,0.0,1454150.1379761116,17,1208592,-3,10,thermogauss_scan001,10,2,123,1751310661,apollo
fasthdbscan_kdtree,3.117760181427002,9.099720045924187e-06,1454150.1379852113,14234,1208592,-3,10,thermogauss_scan001,10,2,123,1751310664,apollo
hdbscan_kdtree,46.2647008895874,0.0,1454150.1379761116,15981,1208592,-3,10,thermogauss_scan001,10,2,123,1751310711,apollo
r_quitefast_default,0.8175554275512695,0.0,1454150.1379761116,0,1208592,-3,10,thermogauss_scan001,10,2,123,1751310712,apollo
quitefast_kdtree_single,0.7877781391143799,0.0,1454150.1379761116,0,1208592,-3,10,thermogauss_scan001,10,3,123,1751310712,apollo
quitefast_kdtree_dual,2.4039745330810547,0.0,1454150.1379761116,17,1208592,-3,10,thermogauss_scan001,10,3,123,1751310715,apollo
fasthdbscan_kdtree,3.096520185470581,9.099720045924187e-06,1454150.1379852113,14234,1208592,-3,10,thermogauss_scan001,10,3,123,1751310718,apollo
hdbscan_kdtree,46.4838547706604,0.0,1454150.1379761116,15981,1208592,-3,10,thermogauss_scan001,10,3,123,1751310765,apollo
