# The Sustainable Society Index 2016 by the Sustainable Society Foundation
#
# See Geurt Van de Kerk and Arthur R. Manuel, A comprehensive index for
# a sustainable society: The SSI -- The Sustainable Society Index,
# Ecological Economics 66(2-3), 2008, pp. 228-242,
# doi:10.1016/j.ecolecon.2008.01.029
# and
# http://www.ssfindex.com/ssi/calculation-methodology/
#
# This CSV file lists the 7 SSI categories, being the geometric means
# of the underlying 9+7+5 categories.
"Country","BasicNeeds","PersonalDevelopmentAndHealth","WellBalancedSociety","NaturalResources","ClimateAndEnergy","Transition","Economy"
"Albania",9.60576910181915,7.95960895483359,6.99264910619345,6.63425083192251,4.62168112578221,2.10254222399207,3.05649433357518
"Algeria",9.0211846632252,7.33649551967248,4.20390602589401,5.27717324206354,2.66267413294292,3.07413404149747,6.15427194169911
"Angola",5.97284831635139,5.69280792081872,2.14013766510019,6.75939564455507,6.21219725555524,1.89881168674854,3.75347631627687
"Argentina",9.83195524752417,8.35059178836871,3.89516725043305,5.45345108832607,3.30032582687908,6.38986741910118,5.34063626191088
"Armenia",9.44694338589861,7.42052268267018,6.28922373125791,6.43630303638371,2.85431689564041,2.43423277931902,3.82962043828475
"Australia",10,8.59092697357053,6.10553851974063,4.13070146656825,1.6278047373555,7.5394980946685,7.59305220518144
"Austria",10,8.44020284892772,7.22582944268545,6.47165907486586,3.48295106542018,9.30528030232351,4.03360300196954
"Azerbaijan",9.11658209103453,7.23770604476628,5.86723310495535,6.76322748656591,2.62359320406842,4.31401499031385,6.93810287065608
"Bangladesh",7.54489617193234,6.65393155262565,5.35354741962707,6.16070929300632,4.83191339233423,3.30825671317192,5.06771275628595
"Belarus",9.79645505548236,8.10263478430945,6.41610339150967,4.51835972514659,2.96472568351459,3.0177320469162,4.71903459777353
"Belgium",9.98330547813691,8.62359215276416,7.54205835886083,3.67958079452572,2.08307025336443,7.89374457106126,3.4410231595325
"Benin",5.20546024081882,6.15377634696311,3.35982263546416,7.25878405178189,6.40832908785477,3.1265766147224,4.73224226434456
"Bhutan",7.94229307303729,6.71460961280593,5.33890366686351,4.55759466633415,4.00350287811087,5.6573579701457,3.2323060097031
"Bolivia",7.23811385703176,7.63040886990417,2.66038494309256,5.05785668816499,2.80292724912921,3.71516421960234,5.90552383491309
"Bosnia-Herzegovina",7.94492377972238,7.61833899564,6.36419959486218,5.5437831346534,2.8448825216691,2.98462545726258,3.38834736091678
"Botswana",7.73167373762557,6.95151232144761,2.91973187900497,6.87059962686455,3.19446466251504,3.48463810094002,4.71615363583921
"Brazil",9.32663195256469,7.74640382186675,3.14195281641197,5.61565343170413,4.79095461497437,3.59180067538983,3.92092763677944
"Bulgaria",9.49062787618515,7.96264658365251,5.72390590511139,7.28044882138813,3.09579727761655,6.62994119828383,5.90418273986155
"Burkina Faso",5.0173302894805,5.48039092651137,3.12343463669652,7.20415006866605,8.00507404876701,3.41557721500178,4.24987379289012
"Burundi",7.13899066933596,6.30365701155786,2.87097756093683,8.30463244649209,8.00507404876701,1.2826559458656,3.45438171454549
"Cambodia",6.3574239003327,6.40542000026729,5.21234940598746,7.2174272445702,5.77103324669424,3.06831368119121,5.72997307186359
"Cameroon",6.76633755534361,5.88927942820499,3.25073415912896,6.56044996090189,7.62173523209359,1.96507217691298,4.77562391508504
"Canada",9.98666221826699,8.43482385834481,6.67466527706473,3.86587151612685,1.7055007591016,5.34321062174274,3.63851041348254
"Central African Republic",4.26585256548697,4.79209581361523,1.85589481804266,7.72934119285554,8.00507404876701,3.11635574674048,2.8716151469291
"Chad",3.41966003255162,4.88467335389329,1.82075255140604,7.07655600940614,8.00507404876701,2.76300089014251,3.99721682286205
"Chile",9.93322172549506,8.26472701423185,3.96058651155534,5.38811854935679,3.65288374291999,3.02938894664848,7.34280458676413
