# The Sustainable Society Index 2016 by the Sustainable Society Foundation
#
# See Geurt Van de Kerk and Arthur R. Manuel, A comprehensive index for
# a sustainable society: The SSI -- The Sustainable Society Index,
# Ecological Economics 66(2-3), 2008, pp. 228-242,
# doi:10.1016/j.ecolecon.2008.01.029
# and
# http://www.ssfindex.com/ssi/calculation-methodology/
#
# This CSV file lists the 3 SSI dimensions, being the geometric means
# of the underlying 3+2+3 categories.
"Country","HumanWellbeing","EnvironmentalWellbeing","EconomicWellbeing"
"Albania",8.11624603259374,5.3961277764524,2.63167374344563
"Algeria",6.52832464136332,3.56976352278489,4.66224540586005
"Angola",4.17493683265578,6.44106665096925,2.85793907503476
"Argentina",6.83850369257838,4.09293177607941,5.73789423852382
"Armenia",7.61098649593922,4.04431950232749,3.19476032131714
"Australia",8.06469599511249,2.4261955866768,7.57158506336798
"Austria",8.48034518627295,4.54215908014339,5.63517846843402
"Azerbaijan",7.28823068219182,3.93685764158121,5.73716183634102
"Bangladesh",6.45343713079755,5.36214294957727,4.2729407947991
"Belarus",7.98586914021784,3.55149736154397,3.94624611003388
"Belgium",8.65932724684435,2.65828492489707,4.79651475801444
"Benin",4.75669966468295,6.75987543658081,4.00929315084345
"Bhutan",6.57869249846091,4.23220611825276,4.04345808645901
"Bolivia",5.27682348902194,3.6097582953019,4.90621145559704
"Bosnia-Herzegovina",7.27608795268935,3.78651285261852,3.22068826828069
"Botswana",5.39384666127247,4.43546818256692,4.17845605489508
"Brazil",6.10016445893155,5.12842678751192,3.78580453755367
"Bulgaria",7.56278272963606,4.46619609997128,6.18443095310996
"Burkina Faso",4.41203434023363,7.6514586959163,3.89413732798985
"Burundi",5.05537134459818,8.13210986649375,2.3241613093148
"Cambodia",5.96514173865787,6.35155731320656,4.46325244133735
"Cameroon",5.05978921679806,7.14735227107319,3.34787684500727
"Canada",8.25357223755066,2.42194498444462,4.24302011698771
"Central African Republic",3.36017243258488,7.88571840008021,2.9671161860098
"Chad",3.12145057184419,7.59308357257822,3.44831581414831
"Chile",6.87637230285756,4.31498471225674,5.15298878079555
"China",6.40409750360042,3.82346888900587,5.4823368759169
"Colombia",5.92796569331016,5.94799331460973,4.14799148126954
"Congo",4.39851083460934,5.9613777475958,2.09367124603975
"Congo Democratic Rep.",3.84007799830565,6.22467227931212,2.39187084391892
"Costa Rica",6.59782669751824,6.97303081518052,5.18478158816457
"Cote d'Ivoire",4.72775433460215,6.0948025930546,4.20091061544823
"Croatia",8.12687305081345,5.93441976282212,3.6385886451367
"Cuba",6.97034210584597,5.73073016019422,5.29028371121615
"Cyprus",7.99648856610085,4.50807588024721,3.49664995707559
"Czech Republic",8.55790928742834,3.29645600782731,7.75161584213501
"Denmark",8.64871155751489,4.48545355965622,7.64045138303323
"Dominican Republic",6.2319248924958,6.34288489136165,6.30946239973361
"Ecuador",5.99685565086126,4.64519731305916,5.55831510514826
"Egypt",6.68962045583105,4.10995770613158,3.42413876102268
"El Salvador",6.67768867500153,6.5657683338193,4.08545210395683
"Estonia",8.38578622602547,2.21046180263189,8.09038664529311
"Ethiopia",4.76034560648244,7.82462230702395,3.74219035997576
"Finland",9.00470417668111,3.60539763677241,6.3805012840187
"France",8.4105158514695,3.99816175622692,4.51752558726149
"Gabon",5.57676360353037,6.96649236370941,2.50405959581285
"Gambia",4.52719125045929,7.76044890139979,2.15053488554905
"Georgia",7.5159143193416,4.90834523683662,3.96218073886273
"Germany",8.84349841564909,3.28779604106773,6.59346238325172
"Ghana",4.87594292177279,6.27042944403411,3.16108868650442
"Greece",7.72855968956098,4.8913682635622,2.50805006939845
"Guatemala",5.09543378289657,5.50404638485048,4.99293688852921
"Guinea",4.58490032355788,7.70702593684104,2.37059509183969
"Guinea-Bissau",3.90991877406931,7.35338843560708,2.15836097273646
"Guyana",5.78016945393168,4.74917345706433,2.68048297822303
"Haiti",3.99343609674877,6.74582648603595,3.63544456994882
"Honduras",5.48420543481567,6.03985226845551,4.97145237276246
"Hungary",8.23197752211832,5.16491821647442,5.15174340010867
"Iceland",8.83504724757832,3.66664900882074,5.21642870482369
"India",6.30895413762317,5.13565125573027,4.25532310948766
"Indonesia",6.79493873495729,5.98895388212446,5.14877894794571
"Iran",6.82698201919662,3.11832042882814,4.41305926115385
"Iraq",5.15063948623726,3.20349150425366,2.13845008937717
"Ireland",8.56423008166824,3.5836559377795,3.94666570707406
"Israel",6.95870081419988,3.39613449255448,5.51915463063922
"Italy",7.69440316466438,5.1956910920863,4.43110021174813
"Jamaica",6.83892566261987,5.82821363876153,2.53979596715884
"Japan",8.45442966640793,3.6248127960769,3.69415895873105
"Jordan",6.40598992980103,3.35457104374289,3.02092169315978
"Kazakhstan",7.6086690771637,2.6772906646783,5.34601733870329
