"timestamp","dataset","method","n_clusters","n_threads","elapsed_time"
1594375091.3561916,"g2mg/g2mg_8_30","Genie_0.3",10,1,0.018100738525390625
1594375091.6355069,"g2mg/g2mg_8_30","Genie_0.3_approx",10,1,0.27928686141967773
1594375091.7774336,"g2mg/g2mg_8_30","sklearn_kmeans",10,1,0.14189505577087402
1594375091.809083,"g2mg/g2mg_8_30","Genie_0.3",10,3,0.01173257827758789
1594375091.9260979,"g2mg/g2mg_8_30","Genie_0.3_approx",10,3,0.11698675155639648
1594375092.0602374,"g2mg/g2mg_8_30","sklearn_kmeans",10,3,0.1341085433959961
1594375092.0919414,"g2mg/g2mg_8_30","Genie_0.3",10,6,0.011597871780395508
1594375092.1768553,"g2mg/g2mg_8_30","Genie_0.3_approx",10,6,0.0848848819732666
1594375092.3401067,"g2mg/g2mg_8_30","sklearn_kmeans",10,6,0.16322112083435059
1594375092.37309,"g2mg/g2mg_8_30","Genie_0.3",10,12,0.012709617614746094
1594375092.443522,"g2mg/g2mg_8_30","Genie_0.3_approx",10,12,0.07039237022399902
1594375092.6087365,"g2mg/g2mg_8_30","sklearn_kmeans",10,12,0.16518402099609375
1594375092.64633,"g2mg/g2mg_8_30","Genie_0.3",100,1,0.017186403274536133
1594375092.9195607,"g2mg/g2mg_8_30","Genie_0.3_approx",100,1,0.27320265769958496
1594375093.4628708,"g2mg/g2mg_8_30","sklearn_kmeans",100,1,0.543278694152832
1594375093.4953094,"g2mg/g2mg_8_30","Genie_0.3",100,3,0.012179136276245117
1594375093.6105032,"g2mg/g2mg_8_30","Genie_0.3_approx",100,3,0.11516475677490234
1594375094.1162102,"g2mg/g2mg_8_30","sklearn_kmeans",100,3,0.5056753158569336
1594375094.1486142,"g2mg/g2mg_8_30","Genie_0.3",100,6,0.011753559112548828
1594375094.22758,"g2mg/g2mg_8_30","Genie_0.3_approx",100,6,0.07893633842468262
1594375094.735739,"g2mg/g2mg_8_30","sklearn_kmeans",100,6,0.5081274509429932
1594375094.768938,"g2mg/g2mg_8_30","Genie_0.3",100,12,0.01292562484741211
1594375094.839593,"g2mg/g2mg_8_30","Genie_0.3_approx",100,12,0.07062292098999023
