# The Sustainable Society Index 2016 by the Sustainable Society Foundation
#
# See Geurt Van de Kerk and Arthur R. Manuel, A comprehensive index for
# a sustainable society: The SSI -- The Sustainable Society Index,
# Ecological Economics 66(2-3), 2008, pp. 228-242,
# doi:10.1016/j.ecolecon.2008.01.029
# and
# http://www.ssfindex.com/ssi/calculation-methodology/
#
# This CSV file lists the 21 indicators, each mapped onto the 0-10 scale.
"Country","SufficientFood","SufficientWater","SafeSanitation","Education","HealthyLife","GenderEquality","IncomeDistribution","PopulationGrowth","GoodGovernance","Biodiversity","RenewableWaterResources","Consumption","EnergyUse","EnergySavings","GreenhouseGases","RenewableEnergy","OrganicFarming","GenuineSavings","GDP","Employment","PublicDebt"
"Albania",10,9.51,9.32,8.844812,8.13333333333333,7.01,8.38196488997714,8.23096025437321,4.95597224185864,5.50934124087591,9.5659,5.54051523466818,8.386,2.32510288065843,8.5757,2.72855868850325,1.09570601329099,4.03455283629579,5.46249573321751,1.99887606450038,2.6151331542055
"Algeria",10,8.4,8.74,8.096907,7.71666666666667,6.32,5.54540528542126,4.08710384475312,3.27800818284353,6.59526008296455,3.308,6.73607055811877,7.346,1,6.8426,1,1.00380772423141,9.41445246631213,6.29293019575489,3.86741023454501,9.57760433142155
"Angola",8.58,4.86,5.11,6.709523,4.31666666666667,6.37,3.29272512626412,1,2.97693706552188,4.10132750461217,9.95245,7.56604896694397,8.788,3.56020942408377,9.2035,5.1720455287709,1.00959087168811,3.57123456921136,3.91062849265952,5.06616982702638,2.66916078403704
"Argentina",10,9.89,9.61,10,7.93333333333333,7.34,2.32236274729759,6.04830960212397,4.20740443219741,5.40767453925107,9.568,3.13460307014557,5.97,3.59800838574423,5.5232,1,4.78055566266027,8.54093300337593,7.753612836385,4.40431662906566,4.46063159346187
"Armenia",9.42,10,8.95,7.82538,7.81666666666667,6.68,7.60271768026336,7.25520572049628,4.50995842615763,7.75526870389884,6.214,5.53275388538369,8.032,1,8.2639,1,1.1305763010298,5.24112279597039,4.42350654289137,1.8086578571764,7.02011300937723
"Australia",10,10,10,10,8.65,7.33,5.60854046686156,4.92598165798916,8.23814209302267,7.33526540378153,9.6085,1,1,7.02116585704372,1,1,6.84493091723503,8.30454422503826,9.66401848224682,5.48811636094026,8.25406899489281
"Austria",10,10,10,9.464607,8.66666666666667,7.33,6.86805442641449,6.82108466044013,8.05333844820659,7.91799244702225,9.5506,3.58427359384724,2.472,6.77690029615005,2.8861,3.04367693797232,9.92989591925221,8.71995459055432,9.66123886122632,6.06530659712633,1.11993773003313
"Azerbaijan",10,8.62,8.79,7.539504,7.45,6.75,10,5.55872493385148,3.63349732756615,7.29129070529867,6.548,6.4796105194586,6.996,1,6.7723,1,2.0384849230054,9.12968505512137,6.8909919265748,5.94520559309774,8.15217672050292
"Bangladesh",8.36,8.62,5.96,5.921718,7.06666666666667,7.04,7.84455950720666,5.69215370273735,3.43621066212654,2.85235104094645,9.7077,8.44447838108047,9.554,2.2636815920398,9.6086,2.62310620549914,1.1671355721134,9.37728464605793,2.30939692851976,6.50509082315841,8.66331335864429
"Belarus",10,9.97,9.43,9.945652,7.53333333333333,7.1,9.2140845354145,7.81584330488239,3.667634293437,5.8990806121839,9.7385,1.6057059336519,4.14,4.74137931034483,3.9358,1,1,9.10670670698503,6.88145125389218,5.5432727944803,2.75494666121888
